"tablet.id","signs.orig.vec","signs.expand.vec","num.char"
"P000903","1(N01)# _ SZU2","N01 _ SZU2",3
"P000817","1(N14) _ TE _ PIRIG~a1 _ 3(N01) _ TE _ 1(N01) _ TE# _ DU _ 1(N01) _ |SAGxGESZTU~a| _ 1(N01) _ AB~a _ 2(N01) _ SI _ 1(N01) _ SZU _ 4(N01)","N14 _ TE _ PIRIG~a1 _ N01 N01 N01 _ TE _ N01 _ TE _ DU _ N01 _ |SAGxGESZTU~a| _ N01 _ AB~a _ N01 N01 _ SI _ N01 _ SZU _ N01 N01 N01 N01",39
"P000820","1(N48) _ 1(N34) _ 3(N14) _ 1(N01) _ UKKIN~a","N48 _ N34 _ N14 N14 N14 _ N01 _ UKKIN~a",11
"P000821","2(N01) _ UNUG~a _ NI~a@g _ SANGA~a _ GURUSZDA _ UTUA~a","N01 N01 _ UNUG~a _ NI~a@g _ SANGA~a _ GURUSZDA _ UTUA~a",12
"P000920","1(N14)# _ 9(N01)# _ ZATU753 _ 1(N14)# _ 8(N01)# _ 6(N01)# _ 1(N14)# _ 1(N14)# _ NIM~a _ 8(N01)# _ 5(N01) _ TUR# _ 5(N01) _ GURUSZ~a# _ 5(N01) _ GURUSZ~a# _ 5(N01)# _ NIMGIR _ 5(N01) _ TE _ 4(N01) _ TE# _ 3(N01)# _ 1(N14) _ AB2 _ 5(N01)# _ 1(N01)# _ 3(N01)# _ 5(N01)# _ KISAL~b1 _ NUN~a# _ 3(N01)#","N14 _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ ZATU753 _ N14 _ N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 N01 _ N14 _ N14 _ NIM~a _ N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ TUR _ N01 N01 N01 N01 N01 _ GURUSZ~a _ N01 N01 N01 N01 N01 _ GURUSZ~a _ N01 N01 N01 N01 N01 _ NIMGIR _ N01 N01 N01 N01 N01 _ TE _ N01 N01 N01 N01 _ TE _ N01 N01 N01 _ N14 _ AB2 _ N01 N01 N01 N01 N01 _ N01 _ N01 N01 N01 _ N01 N01 N01 N01 N01 _ KISAL~b1 _ NUN~a _ N01 N01 N01",127
"P000921","2(N01)# _ |ZATU659x1(N14)|# _ 1(N08) _ 1(N39~b)# _ 1(N01)# _ 1(N24)# _ 3(N01)#","N01 N01 _ |ZATU659x1(N14)| _ N08 _ N39~b _ N01 _ N24 _ N01 N01 N01",16
"P000924","2(N14) _ GURUSZ~a _ 1(N01) _ GI# _ 1(N01)# _ BA# _ BU~a# _ 1(N01)# _ USZ~a# _ BU~a# _ 1(N01)# _ DA~a# _ USZ~a _ 3(N14) _ 1(N01)# _ BA# _ 1(N14)#","N14 N14 _ GURUSZ~a _ N01 _ GI _ N01 _ BA _ BU~a _ N01 _ USZ~a _ BU~a _ N01 _ DA~a _ USZ~a _ N14 N14 N14 _ N01 _ BA _ N14",36
"P000925","3(N01)# _ BA# _ 1(N01)# _ APIN~a# _ 1(N02) _ 1(N01) _ TUR# _ |(BU~a&BU~a).NA2~a@n|#","N01 N01 N01 _ BA _ N01 _ APIN~a _ N02 _ N01 _ TUR _ |(BU~a&BU~a).NA2~a@n|",17
"P000926","1(N34) _ 5(N14) _ EN~a _ NUN~a _ GAR3 _ 1(N14) _ 2(N01) _ ZATU694~d _ 2(N14) _ 4(N01) _ ZATU694~b _ 4(N01) _ SZA3~a1 _ 5(N14)# _ SAG _ 6(N01) _ ZATU694~d _ 5(N01) _ ZATU694~b _ 2(N01) _ SZA3~a1","N34 _ N14 N14 N14 N14 N14 _ EN~a _ NUN~a _ GAR3 _ N14 _ N01 N01 _ ZATU694~d _ N14 N14 _ N01 N01 N01 N01 _ ZATU694~b _ N01 N01 N01 N01 _ SZA3~a1 _ N14 N14 N14 N14 N14 _ SAG _ N01 N01 N01 N01 N01 N01 _ ZATU694~d _ N01 N01 N01 N01 N01 _ ZATU694~b _ N01 N01 _ SZA3~a1",67
"P000823","1(N14) _ NESAG2~a _ 1(N14) _ UKKIN~a# _ 1(N01)# _ 1(N01)# _ 6(N01) _ TE _ TU~a#","N14 _ NESAG2~a _ N14 _ UKKIN~a _ N01 _ N01 _ N01 N01 N01 N01 N01 N01 _ TE _ TU~a",22
