"object_id","ensemble_id","archaeological_unit","site_name","location","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean","coding_random","num.char","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"hfc0019","","Aurignacien","Hohle Fels",NA,"Vaa","AMS","34570±260 - 31750±260",NA,NA,NA,"2016","ivory","personal ornament",9,4,3,"fragmented","!O","","O","O",1,0,0,0,1,"NA"
"hfc0020","","Aurignacien","Hohle Fels",NA,"IIIa","AMS","31140+250/-240 - 29710+210/-200",NA,NA,NA,"2015","ivory","undetermined",12,7,2,"fragmented","!XX!","","XX","XX",2,0,0.25,0.25,0.5,"1"
"hfc0021","","Aurignacien","Hohle Fels",NA,"Vaa","AMS","34570±260 - 31750±260",NA,NA,NA,"2016","ivory","personal ornament",27,7,5,"almost complete","OO","","OO","OO",2,0,0.25,0.25,0.5,"1"
"hfc0022","","Aurignacien","Hohle Fels",NA,"IIIb","AMS","29990+340/-330 - 29780+330/-310",NA,NA,NA,"2013","ivory","undetermined",22,10,4,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"hfc0023","","Aurignacien/Gravettian","Hohle Fels",NA,"IId","AMS","30010±220 - 29560+240/-230",NA,NA,NA,"2003","bone","undetermined",29,12,4,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"hfc0024","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2002","ivory","figurine anthropomorph",26,7,5,"fragmented","v _ v","","v _ v","v _ v",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"hfc0025","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2001","bone","awl",30,5,2,"fragmented","!v v v vv! _ v v v _ (//|) _ !v v vv vv vv vv _ ¥! _ vvv _ !vvvvvvv","","v v v vv _ v v v _ v v vv vv vv vv _ ¥ _ vvv _ vvvvvvv","vvv _ vvvvvvv _ v v v _ ¥ _ v v vv vv vv vv _ v v v vv",44,1.38136663588904,1.22754019197416,1.18570628510262,0.0909090909090909,"0.302325581395349"
"hfc0026","","Aurignacien","Hohle Fels",NA,"Iid","AMS","30010±220 - 29560+240/-230",NA,NA,NA,"20047","ivory","figurine zoomorph",21,16,8,"fragmented","!|||! _ !≠! _ |","","||| _ ≠ _ |","||| _ ≠ _ |",7,1.37878349348618,1.18722400809105,1.18722400809105,0.428571428571429,"0.333333333333333"
"hfc0027","","Aurignacien","Hohle Fels",NA,"Iid","AMS","30010±220 - 29560+240/-230",NA,NA,NA,"1999","ivory","figurine zoomorph",36,16,10,"fragmented","|||||||! _ ||||||! _ ||||||||||! _ vv! _ ///!","","||||||| _ |||||| _ |||||||||| _ vv _ ///","|||||||||| _ vv _ /// _ ||||||| _ ||||||",32,1.28759960964141,1.24464966096027,1.30269077487026,0.125,"0.741935483870968"
"hfc0029","","Aurignacien","Hohle Fels",NA,"IIIb","AMS","29990+340/-330 - 29780+330/-310",NA,NA,NA,"2007","ivory","rod/bâton",71,10,5,"fragmented","W W","","W W","W W",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"hfc0030","","Aurignacien/Gravettian","Hohle Fels",NA,"IIe","AMS","30640±190",NA,NA,NA,"2003","ivory","point",13,3,3,"fragmented","!$","","$","$",1,0,0,0,1,"NA"
"hfc0031","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2002","ivory","rod/bâton",49,17,5,"fragmented","|| |","","|| |","|| |",4,0.811278124459133,0.771240625180289,0.771240625180289,0.5,"0.333333333333333"
"hfc0032","","Aurignacien","Hohle Fels",NA,"IIIb","AMS","29990+340/-330 - 29780+330/-310",NA,NA,NA,"2002","ivory","undetermined",15,6,4,"fragmented","!\\\\ \\\\\ _ !\ \\\ /","","\\\\ \\\\\ _ \ \\\ /","\\\\ \\\\\ _ \ \\\ /",18,1.23322478822022,1.27658415715045,1.27658415715045,0.222222222222222,"0.529411764705882"
"hfc0033","","Aurignacien","Hohle Fels",NA,"Vb","AMS","40000±500 - 31290±180",NA,NA,NA,"2005","ivory","undetermined",18,6,3,"fragmented","!|XX |X X!","","|XX |X X","|XX |X X",8,1.5,1.04147361374069,1.04147361374069,0.375,"0.142857142857143"
