"id","period","coding_sample","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
25,"aurignacian","¥ v_vvvvV_>> _\\\\ \\\\\_\ \\\ /_vvvv*vvvvvvvv_|||||_¤¤¤¤¤¤¤¤¤__| || |_| |||| | | ||||_v vvv_XXXXX_vvv",102,2.96803700782645,2.00478565103335,0.117647058823529,0.504950495049505
26,"aurignacian","||||_¥_¥_||||_|||||_||||||||_|||_vvvvv_vvv_vvv__|_|",51,1.64723454814145,1.275163320799,0.0784313725490196,0.56
27,"aurignacian","^^^^^^ |_vv_||||_vvvvvvvvvvv_vvvvvvvvvvvv_||||_|||||_||||||||_OO",64,2.00447382252007,1.2500677030894,0.09375,0.714285714285714
28,"aurignacian","_v__>>__|||||||_¤¤¤¤¤¤¤¤¤_//_¤¤¤¤¤¤¤¤¤_|||_V_||||||||||||_|||||_|||||||_¥_v vv vv_|||",85,2.25270623544876,1.56935348715455,0.105882352941176,0.630952380952381
29,"aurignacian","|||||||_¥_vv_¥_|||||_W_⊞_⊞_||_ ⊞_| | |_|||_vvvv_vvvv",52,2.25287559916452,1.71501786455767,0.134615384615385,0.392156862745098
30,"aurignacian","vvvvvv_v V>>>vv_XX_vvvvvvvv_vvvv_v v vv v v v_XXX_vvvv_¥_v_¥",60,2.01424743113136,1.50092227365171,0.116666666666667,0.423728813559322
31,"aurignacian","vv_¥_||||_XXXX_||||||||||||_|||||_|||||||_|||||_/////////////////_///////////////_°°°° °°°_°°°°°°°°_v°°°°°°°°°_Vv_",114,2.39598584868278,1.4689000109934,0.0789473684210526,0.725663716814159
32,"aurignacian","||||| |||_||_X/XXX/_XXXXXXXX/_XXXX_v_|||||X_||||_vvvvvvvv_| |||| | | ||||_v vvv",79,2.27487890057318,1.58677699906098,0.0759493670886076,0.525641025641026
33,"aurignacian","vvvv_⊞_vvvvvv_vvv_|||||||_||||||_||||||||||_vv_///_$_vvvv vvvvvv >>>>_|||||||||||__vvvvvv",89,2.10029044150008,1.55241837788527,0.0898876404494382,0.681818181818182
34,"aurignacian","XXXXXXXX/_XXXX_°°°° °°°_°°°°°°°°_v°°°°°°°°°_Vv__O_¥_//////////_l|ll_¥_||||",74,2.77031180054481,2.06194641961603,0.148648648648649,0.602739726027397
35,"aurignacian","////_vvvv_vvvvv_v_XX_||_⊞_vvvvvv_vvv",36,1.92796325823598,1.48373388719183,0.166666666666667,0.542857142857143
36,"aurignacian","vvvv_vvvv_¥_⊞_vvvvvvvvvvvvvvvvvv_ ⊞_vvv_vvv_vv_vv_vvv_vvvvvv_>>>>>>  >>>>>",74,1.68294560007945,1.35595780559109,0.0810810810810811,0.63013698630137
37,"aurignacian","vvv_||||_–XXXX_¤¤¤¤¤¤¤¤¤_vvvvvvvvvvvvv_////////////_| |||| | | ||||_v vvv_|||||_vvvvv_/XX_vvvvvv_¥",98,2.6678460241563,1.65584993963126,0.0918367346938776,0.628865979381443
38,"aurignacian","||||| |||_||_|||||||_||||||_||||||||||_vv_///_||||_||| X V\\ / \\/ \\ ¥_°°°°°°°_$_|||_XXXXXXXX/_XXXX",100,2.62522282936154,1.9384453673749,0.11,0.565656565656566
39,"aurignacian","vvv_vv_vv_vvv_¥_vv_vvvvvvvvvvvv_⊞_vvvv vvv vv_vvv v vvvv_vvv_v vv v v v v v_v v v v v_vvvv_>>>>>>>_vv",101,1.6272565572287,1.38768378417614,0.0594059405940594,0.42
40,"aurignacian","vvv_| |||| | | ||||_v vvv_v_W W_||_v vv vv_vvvvvvvv",51,2.02544756415598,1.48352133039363,0.0980392156862745,0.4
41,"aurignacian","¥_¥_XXXXX_||||||||||||_|||||_|||||||_vvv_vvv_|| |||_vv_v",56,1.94593179178991,1.43167124359882,0.107142857142857,0.6
42,"aurignacian","_>>>> <<< >>>> <<<< >>_> <<<<< >>>> <<<<<< >>>>_vvv__||l_|||_X X_|||_////_|||||_vvv_vv_||_|||||_||_vvv||||_^^^^_X_////_OO_vvvvv",127,3.03983756987015,1.83481713619388,0.0866141732283465,0.531746031746032
