"object_id","site_name","date_bp_max_min","material","object_type","coding","coding_clean"
"vhc0090","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","vvvvvv _ ¥ _ ¥","vvvvvv _ ¥ _ ¥"
"vhc0091","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!vvvvvvvvvv!","vvvvvvvvvv"
"vhc0092","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvv! _ !vvvvv!","vvv _ vvvvv"
"vhc0093","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!|||||! _ !|! _ !||!","||||| _ | _ ||"
"vhc0094","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!XX! _ !vvvvvvv!","XX _ vvvvvvv"
"vhc0095","Vogelherd","35810±710 - 25900±260","ivory","undetermined","X","X"
"vhc0096","Vogelherd","35810±710 - 25900±260","ivory","undetermined","XX! _ vvvvvvvv! _ !vvvv!","XX _ vvvvvvvv _ vvvv"
"vhc0097","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!⊞!","⊞"
"vhc0098","Vogelherd","35810±710 - 25900±260","ivory","undetermined","|| ||","|| ||"
"vhc0099","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!////","////"
"vhc0100","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vvv!","vvv"
"vhc0101","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!vv! _ !v!","vv _ v"
"vhc0102","Vogelherd","35810±710 - 25900±260","bone","undetermined","!|||! _ !vv! _ !vvv!","||| _ vv _ vvv"
"vhc0103","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvvvvv! _ !v V>>>vv!","vvvvvv _ v V>>>vv"
"vhc0104","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vvv! _ !vv! _ !vv! _ !vvv!","vvv _ vv _ vv _ vvv"
"vhc0105","Vogelherd","35810±710 - 25900±260","ivory","possible flute","!vvvvvvv!","vvvvvvv"
"vhc0106","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!⊞!","⊞"
"vhc0107","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","/ \ _ |||! _ ||!","/ \ _ ||| _ ||"
"vhc0108","Vogelherd","35810±710 - 25900±260","bone","undetermined","!XXXX!","XXXX"
"vhc0109","Vogelherd","35810±710 - 25900±260","ivory","possible flute","!vvvvvvvv!","vvvvvvvv"
"vhc0110","Vogelherd","35810±710 - 25900±260","ivory","undetermined","vvv!","vvv"
"vhc0111","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","?",""
"vhc0112","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","vv _ X","vv _ X"
