"tablet.id","signs.orig.vec","signs.expand.vec"
"P000065","1(N01) _ TA~c _ 1(N01) _ 1(N01)","N01 _ TA~c _ N01 _ N01"
"P000066","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ BU~a _ 1(N01) _ GAL~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ GAL~a _ N01 _ BU~a _ N01 _ GAL~a _ N01 _ N01 _ N01 _ N01"
"P000067","1(N01) _ 1(N01) _ 1(N01) _ IB~a _ 1(N01) _ GAL~a _ SZITA~a1 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ 1(N01)","N01 _ N01 _ N01 _ IB~a _ N01 _ GAL~a _ SZITA~a1 _ N01 _ N01 _ N01 _ N01 _ GAL~a _ N01"
"P000068","1(N01) _ KAL~a _ AB2 _ 1(N01) _ GA~b _ AMAR _ 1(N14) _ SUHUR _ 1(N14) _ 3(N01) _ 1(N01) _ 1(N14)","N01 _ KAL~a _ AB2 _ N01 _ GA~b _ AMAR _ N14 _ SUHUR _ N14 _ N01 N01 N01 _ N01 _ N14"
"P000069","1(N01) _ 1(N01) _ |DUG~bxTAK4~a| _ 1(N01) _ |DUG~bxSA~a|","N01 _ N01 _ |DUG~bxTAK4~a| _ N01 _ |DUG~bxSA~a|"
"P000070","A _ 1(N01) _ ISZ~b _ 1(N14) _ 1(N14) _ KAR2~b","A _ N01 _ ISZ~b _ N14 _ N14 _ KAR2~b"
"P000071","1(N01) _ 1(N01) _ NAM2 _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01)","N01 _ N01 _ NAM2 _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01"
"P000072","1(N01) _ MUD3~a _ 1(N01)","N01 _ MUD3~a _ N01"
"P000073","1(N01) _ MUD3~a _ 1(N01) _ LAHTAN2 _ 1(N01) _ KISIM~b _ NI~b _ 1(N34)","N01 _ MUD3~a _ N01 _ LAHTAN2 _ N01 _ KISIM~b _ NI~b _ N34"
"P000075","1(N01) _ 1(N01) _ 1(N01) _ NAM2 _ 1(N01)","N01 _ N01 _ N01 _ NAM2 _ N01"
"P000076","5(N14) _ 6(N14) _ 1(N01) _ 1(N01) _ GAR@g~c _ 1(N01) _ BU~a _ 1(N01)","N14 N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14 _ N01 _ N01 _ GAR@g~c _ N01 _ BU~a _ N01"
"P000077","1(N01) _ SZEN~a _ 1(N01) _ URI","N01 _ SZEN~a _ N01 _ URI"
"P000078","",""
"P000079","EN~a","EN~a"
"P000080","1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ GAL~a _ 1(N01)","N01 _ N01 _ GAL~a _ N01 _ GAL~a _ N01"
"P000081","1(N01) _ 1(N01) _ GAL~a _ TUR3~a","N01 _ N01 _ GAL~a _ TUR3~a"
"P000082","1(N01) _ NIM~a _ 1(N01) _ GAL~a _ 1(N01)","N01 _ NIM~a _ N01 _ GAL~a _ N01"
"P000083","1(N01) _ 1(N01) _ IM~b _ TUR _ 1(N01)","N01 _ N01 _ IM~b _ TUR _ N01"
"P000084","1(N01) _ UMUN2","N01 _ UMUN2"
"P000085","1(N01)","N01"
"P000086","E2~a","E2~a"
"P000087","1(N01) _ 1(N01) _ 1(N01) _ |ZATU737xSAL| _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ |ZATU737xSAL| _ N01 _ N01 _ N01 _ N01"
"P000088","1(N01) _ 1(N01)","N01 _ N01"
"P000090","|DUG~bxGESZTU~a| _ 1(N01)","|DUG~bxGESZTU~a| _ N01"
"P000091","1(N01) _ 1(N01) _ GAL~a _ 1(N01)","N01 _ N01 _ GAL~a _ N01"
"P000092","",""
"P000093","NI~a","NI~a"
"P000094","GA~a","GA~a"
"P000095","1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ |NUN~a+EN~a| _ 1(N01)","N01 _ N01 _ GAL~a _ N01 _ |NUN~a+EN~a| _ N01"
"P000096","|ZATU737xSAL|","|ZATU737xSAL|"
"P000097","1(N01) _ 1(N01) _ NE~a _ IR~a _ 1(N01) _ DIN _ IR~a","N01 _ N01 _ NE~a _ IR~a _ N01 _ DIN _ IR~a"
"P000098","1(N01) _ GAN~a _ 1(N01) _ 1(N01) _ |DUG~bxSZE~a| _ 1(N01) _ 1(N01)","N01 _ GAN~a _ N01 _ N01 _ |DUG~bxSZE~a| _ N01 _ N01"
"P000099","1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ GA~a","N01 _ N01 _ GAL~a _ N01 _ GA~a"
"P000100","1(N01) _ SAG _ KI _ AD~a _ 1(N01) _ HAL _ ABRIG _ AD~a","N01 _ SAG _ KI _ AD~a _ N01 _ HAL _ ABRIG _ AD~a"
"P000101","1(N01) _ 1(N01) _ 1(N01) _ NIM~a _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ NIM~a _ N01 _ N01"
"P000102","1(N01) _ GAL~a _ TE _ 1(N01) _ GAL~a _ SUKKAL _ 1(N01) _ 1(N01)","N01 _ GAL~a _ TE _ N01 _ GAL~a _ SUKKAL _ N01 _ N01"
"P000103","1(N01) _ MAR~b _ 1(N01) _ MAR~b","N01 _ MAR~b _ N01 _ MAR~b"
"P000104","|DUG~bxKUR@g~a|","|DUG~bxKUR@g~a|"
"P000105","1(N01) _ 1(N01) _ BU~a _ SANGA~a _ 1(N01) _ BU~a _ SANGA~a","N01 _ N01 _ BU~a _ SANGA~a _ N01 _ BU~a _ SANGA~a"
"P000106","1(N01)","N01"
"P000107","1(N01) _ NUN~a _ 1(N01) _ BU~a","N01 _ NUN~a _ N01 _ BU~a"
"P000108","1(N01) _ 1(N01) _ ISZ~a _ 1(N01) _ 1(N01)","N01 _ N01 _ ISZ~a _ N01 _ N01"
