"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random"
"vhc0136",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2010","bone","undetermined","flute","",15,6,2,"fragmented","Universität Tübingen","Find No.: 75/63-13.1","||!","very certain","||","||"
"vhc0135",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2010","bone","undetermined","spatula/lissoir","",30,10,5,"fragmented","Universität Tübingen","Find No.: 75/62-76.1","(/XXXX!) _ (XXXX!) _ >>! _","certain",">>",">>"
"vhc0134",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2010","bone","undetermined","possible figurine","",11,4,4,"fragmented","Universität Tübingen","Find No.: 74/63-29.1","!XX!","certain","XX","XX"
"vhc0132",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","awl","",52,11,8,"almost complete","Universität Tübingen","Find No.: 69/62-55","|||||| _ vvvv vvv _ ||||! _ vvvv vv","very certain","||||||_vvvv vvv_||||_vvvv vv","||||_||||||_vvvv vvv_vvvv vv"
"vhc0131",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2005","bone","undetermined","tube/flute","",17,7,4,"fragmented","Universität Tübingen","Find No.: 68/66-27.1","≠! _ vv _ vv","uncertain","≠_vv_vv","vv_vv_≠"
"vhc0130",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","tube/flute","",21,6,2,"fragmented","Universität Tübingen","Find No.: 68/62-9.1","!vv!","very certain","vv","vv"
"vhc0129",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","tube/flute","",15,5,4,"fragmented","Universität Tübingen","Find No.: 68/62-39.1","vvvv _ vvvv","uncertain","vvvv_vvvv","vvvv_vvvv"
"vhc0128",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","ivory","Mammuthus primigenius","undetermined","",12,7,3,"fragmented","Universität Tübingen","Find No.: 68/62-20.1","!||!","certain","||","||"
"vhc0127",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2005","bone","undetermined","tube/flute","",20,7,4,"fragmented","Universität Tübingen","Find No.: 67/65-78.1","!vvv! _ !vvv!","certain","vvv_vvv","vvv_vvv"
"vhc0126",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","undetermined","",18,5,2,"fragmented","Universität Tübingen","Find No.: 66/64-58.1","!vvvvvvv!","certain","vvvvvvv","vvvvvvv"
"vhc0125",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","ivory","Mammuthus primigenius","undetermined","",8,5,3,"fragmented","Universität Tübingen","Find No.: 66/64-53.1","!vvv!","uncertain","vvv","vvv"
"vhc0124",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2011","bone","undetermined","undetermined","",39,7,2,"fragmented","Universität Tübingen","Find No.: 66/61-34.1","vvvvvv","very certain","vvvvvv","vvvvvv"
