"object_id","ensemble_id","archaeological_unit","site_name","location","location__short_name","location__location","location__country","latitude","longitude","location__coord_precision","location__coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean"
"vhc0144","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","ivory","figurine zoomorph",62,23,8,"fragmented","– – – – – _ !/////////////////! _ !///////////////!","Very certain","– – – – – _ ///////////////// _ ///////////////"
"vhc0169","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","bone","spatula/lissoir",47,8,5,"fragmented","vvvvvvvvvv!","Very certain","vvvvvvvvvv"
"vhc0143","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","bone","undetermined",60,10,2,"almost complete","||| ||||","Very certain","||| ||||"
"vhc0141","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","bone","tube/flute",19,4,2,"fragmented","!||||!","Very certain","||||"
"vhc0140","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","rod/bâton",13,4,4,"fragmented","!vvv!","Very certain","vvv"
"vhc0139","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","undetermined",45,18,7,"fragmented","!| || |!","Uncertain","| || |"
"vhc0138","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2010","bone","tube/flute",17,6,3,"fragmented","!vvvv! _ !vvvvv!","Very certain","vvvv _ vvvvv"
"vhc0137","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2010","ivory","possible flute",14,4,2,"fragmented","!vvv!","Very certain","vvv"
"vhc0136","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2010","bone","flute",15,6,2,"fragmented","||!","Very certain","||"
"vhc0135","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2010","bone","spatula/lissoir",30,10,5,"fragmented","(/XXXX!) _ (XXXX!) _ >>! _","Certain",">>"
"vhc0134","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2010","bone","possible figurine",11,4,4,"fragmented","!XX!","Certain","XX"
"vhc0132","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2011","bone","awl",52,11,8,"almost complete","|||||| _ vvvv vvv _ ||||! _ vvvv vv","Very certain","|||||| _ vvvv vvv _ |||| _ vvvv vv"
"vhc0131","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2005","bone","tube/flute",17,7,4,"fragmented","≠! _ vv","Uncertain","≠ _ vv"
"vhc0130","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2011","bone","tube/flute",21,6,2,"fragmented","!vv!","Certain","vv"
"vhc0129","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2011","bone","tube/flute",15,5,4,"fragmented","vvvv _ vvvv","Very certain","vvvv _ vvvv"
"vhc0128","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2011","ivory","undetermined",12,7,3,"fragmented","!||!","Certain","||"
"vhc0127","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2005","bone","tube/flute",20,7,4,"fragmented","!vv! _ !vvv!","Certain","vv _ vvv"
